property_id,item_type,group_or_category,name,tooltip
18170457,FACILITY,"Things to do, ways to relax",Gym/fitness,
18170457,FACILITY,"Things to do, ways to relax",Nightclub,
18170457,FACILITY,"Things to do, ways to relax",On-site entertainment,
18170457,FACILITY,"Things to do, ways to relax",Private BBQ facilities,
18170457,FACILITY,"Things to do, ways to relax",Yoga room,
18170457,FACILITY,Cleanliness and safety,Anti-viral cleaning products,
18170457,FACILITY,Cleanliness and safety,Body thermometer,
18170457,FACILITY,Cleanliness and safety,Breakfast takeaway service,
18170457,FACILITY,Cleanliness and safety,Cashless payment service,
18170457,FACILITY,Cleanliness and safety,Covid-19 testing service,
18170457,FACILITY,Cleanliness and safety,Daily disinfection in all rooms,
18170457,FACILITY,Cleanliness and safety,Daily disinfection in common areas,
18170457,FACILITY,Cleanliness and safety,Doctor/nurse on call,
18170457,FACILITY,Cleanliness and safety,Face coverings on staff,
18170457,FACILITY,Cleanliness and safety,First aid kit,
18170457,FACILITY,Cleanliness and safety,Free face masks,
18170457,FACILITY,Cleanliness and safety,Hand sanitizer,
18170457,FACILITY,Cleanliness and safety,Hotel room service app,
18170457,FACILITY,Cleanliness and safety,Hot water linen and laundry washing,
18170457,FACILITY,Cleanliness and safety,Hygiene certification,
18170457,FACILITY,Cleanliness and safety,Physical distancing of at least 1 meter,
18170457,FACILITY,Cleanliness and safety,Professional-grade sanitizing services,
18170457,FACILITY,Cleanliness and safety,Protective screens in common areas,
18170457,FACILITY,Cleanliness and safety,Room sanitization opt-out available,
18170457,FACILITY,Cleanliness and safety,Rooms sanitized between stays,
18170457,FACILITY,Cleanliness and safety,Safe dining setup,
18170457,FACILITY,Cleanliness and safety,Sanitized kitchen and tableware items,
18170457,FACILITY,Cleanliness and safety,Shared stationery removed,
18170457,FACILITY,Cleanliness and safety,Staff trained in safety protocol,
18170457,FACILITY,Cleanliness and safety,Sterilizing equipment,
18170457,FACILITY,Cleanliness and safety,Temperature check for guests and staff,
18170457,FACILITY,"Dining, drinking, and snacking",A la carte breakfast,
18170457,FACILITY,"Dining, drinking, and snacking",A la carte in restaurant,
18170457,FACILITY,"Dining, drinking, and snacking",Alcohol,
18170457,FACILITY,"Dining, drinking, and snacking",Alternative meal arrangement,
18170457,FACILITY,"Dining, drinking, and snacking",Asian breakfast,
18170457,FACILITY,"Dining, drinking, and snacking",Asian cuisine in restaurant,
18170457,FACILITY,"Dining, drinking, and snacking",Bar,
18170457,FACILITY,"Dining, drinking, and snacking",Bottle of water,
18170457,FACILITY,"Dining, drinking, and snacking",Breakfast [buffet],
18170457,FACILITY,"Dining, drinking, and snacking",Breakfast [continental],
18170457,FACILITY,"Dining, drinking, and snacking",Breakfast [free],
18170457,FACILITY,"Dining, drinking, and snacking",Breakfast service,
18170457,FACILITY,"Dining, drinking, and snacking",Buffet in restaurant,
18170457,FACILITY,"Dining, drinking, and snacking",Chinese cuisine in restaurant,
18170457,FACILITY,"Dining, drinking, and snacking",Coffee/tea in restaurant,
18170457,FACILITY,"Dining, drinking, and snacking",Coffee shop,
18170457,FACILITY,"Dining, drinking, and snacking",Desserts in restaurant,
18170457,FACILITY,"Dining, drinking, and snacking",Fruits/snacks,
18170457,FACILITY,"Dining, drinking, and snacking",Full american breakfast,
18170457,FACILITY,"Dining, drinking, and snacking",Happy hour,
18170457,FACILITY,"Dining, drinking, and snacking",International cuisine in restaurant,
18170457,FACILITY,"Dining, drinking, and snacking",Kitchen,
18170457,FACILITY,"Dining, drinking, and snacking",Restaurant [kosher],
18170457,FACILITY,"Dining, drinking, and snacking",Restaurant breakfast,
18170457,FACILITY,"Dining, drinking, and snacking",Restaurant dinner,
18170457,FACILITY,"Dining, drinking, and snacking",Restaurant lunch,
18170457,FACILITY,"Dining, drinking, and snacking",Restaurants,
18170457,FACILITY,"Dining, drinking, and snacking",Room service,
18170457,FACILITY,"Dining, drinking, and snacking",Salad in restaurant,
18170457,FACILITY,"Dining, drinking, and snacking",Shared kitchen,
18170457,FACILITY,"Dining, drinking, and snacking",Snack bar,
18170457,FACILITY,"Dining, drinking, and snacking",Soup in restaurant,
18170457,FACILITY,"Dining, drinking, and snacking",Vegetarian restaurant,
18170457,FACILITY,"Dining, drinking, and snacking",Vending machine,
18170457,FACILITY,"Dining, drinking, and snacking",Western breakfast,
18170457,FACILITY,"Dining, drinking, and snacking",Western cuisine in restaurant,
18170457,FACILITY,Services and conveniences,Air conditioning in public area,
18170457,FACILITY,Services and conveniences,Audio-visual equipment for special events,
18170457,FACILITY,Services and conveniences,Beam projector,
18170457,FACILITY,Services and conveniences,Chapel,
18170457,FACILITY,Services and conveniences,Concierge,
18170457,FACILITY,Services and conveniences,Contactless check-in/out,
18170457,FACILITY,Services and conveniences,Convenience store,
18170457,FACILITY,Services and conveniences,Daily housekeeping,
18170457,FACILITY,Services and conveniences,Elevator,
18170457,FACILITY,Services and conveniences,Essential condiments,
18170457,FACILITY,Services and conveniences,Gift/souvenir shop,
18170457,FACILITY,Services and conveniences,Indoor venue for special events,
18170457,FACILITY,Services and conveniences,Invoice provided,
18170457,FACILITY,Services and conveniences,Ironing service,
18170457,FACILITY,Services and conveniences,Laundromat,
18170457,FACILITY,Services and conveniences,Laundry service,
18170457,FACILITY,Services and conveniences,Luggage storage,
18170457,FACILITY,Services and conveniences,Meeting/banquet facilities,
18170457,FACILITY,Services and conveniences,Meetings,
18170457,FACILITY,Services and conveniences,Meeting stationery,
18170457,FACILITY,Services and conveniences,On-site event hosting,
18170457,FACILITY,Services and conveniences,Outdoor venue for special events,
18170457,FACILITY,Services and conveniences,Postal service,
18170457,FACILITY,Services and conveniences,Projector/LED display,
18170457,FACILITY,Services and conveniences,Safety deposit boxes,
18170457,FACILITY,Services and conveniences,Seminars,
18170457,FACILITY,Services and conveniences,Shops,
18170457,FACILITY,Services and conveniences,Smoke-free property,
18170457,FACILITY,Services and conveniences,Smoking area,
18170457,FACILITY,Services and conveniences,Terrace,
18170457,FACILITY,Services and conveniences,Wi-Fi for special events,
18170457,FACILITY,Services and conveniences,Xerox/fax in business center,
18170457,FACILITY,For the kids,Family/child friendly,
18170457,FACILITY,For the kids,Family room,
18170457,FACILITY,For the kids,Kids meal,
18170457,FACILITY,For the kids,Kids safety features,
18170457,FACILITY,For the kids,Playground,
18170457,FACILITY,Access,Adult-only property,
18170457,FACILITY,Access,Buzzer/wireless intercom,
18170457,FACILITY,Access,Café design room,
18170457,FACILITY,Access,Cat-friendly,
18170457,FACILITY,Access,CCTV in common areas,
18170457,FACILITY,Access,CCTV outside property,
18170457,FACILITY,Access,Check-in/out [express],
18170457,FACILITY,Access,Check-in/out [private],
18170457,FACILITY,Access,Check-in [24-hour],
18170457,FACILITY,Access,Couple's room,
18170457,FACILITY,Access,Couples only,
18170457,FACILITY,Access,Dog-friendly,
18170457,FACILITY,Access,Exterior corridor,
18170457,FACILITY,Access,Filming locations,
18170457,FACILITY,Access,Fire extinguisher,
18170457,FACILITY,Access,Front desk [24-hour],
18170457,FACILITY,Access,Hotel chain,
18170457,FACILITY,Access,Non-smoking rooms,
18170457,FACILITY,Access,Pet-friendly [charges apply],
18170457,FACILITY,Access,Pets allowed,
18170457,FACILITY,Access,Pets may not be left unattended,
18170457,FACILITY,Access,Room decorations,
18170457,FACILITY,Access,Safety/security feature,
18170457,FACILITY,Access,Security [24-hour],
18170457,FACILITY,Access,Service animals are welcome,
18170457,FACILITY,Access,Smoke alarms,
18170457,FACILITY,Access,Soundproof rooms,
18170457,FACILITY,Access,Themed rooms,
18170457,FACILITY,Getting around,Airport transfer,
18170457,FACILITY,Getting around,Bicycle parking,
18170457,FACILITY,Getting around,Car park [charges apply],
18170457,FACILITY,Getting around,Car park [free of charge],
18170457,FACILITY,Getting around,Car park [nearby],
18170457,FACILITY,Getting around,Car park [on-site],
18170457,FACILITY,Getting around,Car power charging station,
18170457,FACILITY,Getting around,Rental car ,
18170457,FACILITY,Getting around,Taxi service,
18170457,FACILITY,Getting around,Valet parking,
18170457,FACILITY,Sports equipment rental,Bicycle rental,
18170457,FACILITY,Available in all rooms,Air conditioning,
18170457,FACILITY,Available in all rooms,Alarm clock,
18170457,FACILITY,Available in all rooms,Blackout curtains,
18170457,FACILITY,Available in all rooms,Carbon monoxide detector,
18170457,FACILITY,Available in all rooms,Cleaning products,
18170457,FACILITY,Available in all rooms,Closet,
18170457,FACILITY,Available in all rooms,Clothes rack,
18170457,FACILITY,Available in all rooms,Complimentary tea,
18170457,FACILITY,Available in all rooms,Desk,
18170457,FACILITY,Available in all rooms,Electric kettle,
18170457,FACILITY,Available in all rooms,Fire extinguisher,
18170457,FACILITY,Available in all rooms,Fitness club privileges,
18170457,FACILITY,Available in all rooms,Free bottled water,
18170457,FACILITY,Available in all rooms,Free instant coffee,
18170457,FACILITY,Available in all rooms,Free use of business areas,
18170457,FACILITY,Available in all rooms,Hair dryer,
18170457,FACILITY,Available in all rooms,High chair,
18170457,FACILITY,Available in all rooms,Individual air conditioning,
18170457,FACILITY,Available in all rooms,In-room safe box,
18170457,FACILITY,Available in all rooms,Internet access – wireless,
18170457,FACILITY,Available in all rooms,Kettle,
18170457,FACILITY,Available in all rooms,Linens,
18170457,FACILITY,Available in all rooms,Locker,
18170457,FACILITY,Available in all rooms,Mini bar,
18170457,FACILITY,Available in all rooms,Mirror,
18170457,FACILITY,Available in all rooms,Mobility accessibility,
18170457,FACILITY,Available in all rooms,Non-smoking,
18170457,FACILITY,Available in all rooms,Pets allowed in room,
18170457,FACILITY,Available in all rooms,Private bathroom,
18170457,FACILITY,Available in all rooms,Private entrance,
18170457,FACILITY,Available in all rooms,Refrigerator,
18170457,FACILITY,Available in all rooms,Safety/security feature,
18170457,FACILITY,Available in all rooms,Satellite/cable channels,
18170457,FACILITY,Available in all rooms,Shower,
18170457,FACILITY,Available in all rooms,Slippers,
18170457,FACILITY,Available in all rooms,Smoke detector,
18170457,FACILITY,Available in all rooms,Socket near the bed,
18170457,FACILITY,Available in all rooms,Soundproofing,
18170457,FACILITY,Available in all rooms,Streaming service like Netflix,
18170457,FACILITY,Available in all rooms,Telephone,
18170457,FACILITY,Available in all rooms,Toiletries,
18170457,FACILITY,Available in all rooms,Towels,
18170457,FACILITY,Available in all rooms,Trash cans,
18170457,FACILITY,Available in all rooms,Wake-up service,
18170457,FACILITY,Available in all rooms,Wi-Fi [free],
18170457,FACILITY,Available in all rooms,Window,
55765781,HIGHLIGHT,topic-highlight,Ideal location,"Right in District 1 and walking distance to Ben Thanh Market, Nguyen Hue, Bui Vien, Takashimaya Mall, Fine Arts Museum and the new Metro — very central for sightseeing and transport."
55765781,HIGHLIGHT,topic-highlight,Top value,Strong value for money appears across reviews — many call the place budget-friendly with a prime location and acceptable facilities for the price.
55765781,HIGHLIGHT,topic-highlight,Great nearby transport,
55765781,HIGHLIGHT,topic-highlight,Great overall atmosphere,
55765781,HIGHLIGHT,topic-highlight,Attentive host service,"Staff presence and helpfulness divide opinions — several guests praise caretakers and staff who assist with check‑in, upgrades and local tips."
55765781,HIGHLIGHT,topic-highlight,Great Wi-Fi,Reliable Wi‑Fi in many rooms and common areas gets specific praise from several guests who worked or streamed without issues.
55765781,HIGHLIGHT,topic-highlight,Great breakfast,Breakfast and rooftop sandwiches get singled out as a highlight — free drinks and a beef stew option please guests who add breakfast.
55765781,HIGHLIGHT,property-facility,Check-in [24-hour],
55765781,HIGHLIGHT,property-facility,Airport transfer,"Airport transfer available at additional charge. To request, check the box on the booking form just before the payment page."
55765781,HIGHLIGHT,property-facility,Free Wi-Fi in all rooms!,
55765781,HIGHLIGHT,property-facility,Concierge,
55765781,HIGHLIGHT,property-facility,Check-in/out [express],
55765781,HIGHLIGHT,property-facility,Elevator,
55765781,HIGHLIGHT,property-facility,Laundry service,
55765781,HIGHLIGHT,property-facility,Coffee shop,
55765781,HIGHLIGHT,property-facility,Restaurants,
55765781,HIGHLIGHT,property-facility,Shuttle service,
55765781,FACILITY,Languages spoken,English,
55765781,FACILITY,Languages spoken,Vietnamese,
55765781,FACILITY,Internet access,Free Wi-Fi in all rooms!,
55765781,FACILITY,Internet access,Internet,
55765781,FACILITY,Internet access,Wi-Fi in public areas,
55765781,FACILITY,"Dining, drinking, and snacking",Asian breakfast,
55765781,FACILITY,"Dining, drinking, and snacking",Coffee shop,
55765781,FACILITY,"Dining, drinking, and snacking",Restaurant breakfast,
55765781,FACILITY,"Dining, drinking, and snacking",Restaurant dinner,
55765781,FACILITY,"Dining, drinking, and snacking",Restaurant lunch,
55765781,FACILITY,"Dining, drinking, and snacking",Restaurants,
55765781,FACILITY,Cleanliness and safety,Hand sanitizer,
55765781,FACILITY,Services and conveniences,Air conditioning in public area,
55765781,FACILITY,Services and conveniences,Concierge,
55765781,FACILITY,Services and conveniences,Contactless check-in/out,
55765781,FACILITY,Services and conveniences,Elevator,
55765781,FACILITY,Services and conveniences,Invoice provided,
55765781,FACILITY,Services and conveniences,Laundry service,
55765781,FACILITY,Services and conveniences,Lockers,
55765781,FACILITY,Services and conveniences,Smoke-free property,
55765781,FACILITY,Services and conveniences,Terrace,
55765781,FACILITY,Access,Adult-only property,
55765781,FACILITY,Access,CCTV in common areas,
55765781,FACILITY,Access,CCTV outside property,
55765781,FACILITY,Access,Check-in/out [express],
55765781,FACILITY,Access,Check-in [24-hour],
55765781,FACILITY,Access,Exterior corridor,
55765781,FACILITY,Access,Fire extinguisher,
55765781,FACILITY,Access,Hotel chain,
55765781,FACILITY,Access,Mirrored room,
55765781,FACILITY,Access,Non-smoking rooms,
55765781,FACILITY,Access,Smoke alarms,
55765781,FACILITY,Getting around,Car park [charges apply],
55765781,FACILITY,Getting around,Shuttle service,
55765781,FACILITY,Available in all rooms,Hair dryer,
55765781,FACILITY,Available in all rooms,Mirror,
55765781,FACILITY,Available in all rooms,Shared bathroom,
55765781,FACILITY,Available in all rooms,Shower,
55765781,FACILITY,Available in all rooms,Toiletries,
55765781,FACILITY,Available in all rooms,Walk-in shower,
35417217,HIGHLIGHT,property-facility,Check-in [24-hour],
35417217,HIGHLIGHT,property-facility,Free Wi-Fi in all rooms!,
35417217,HIGHLIGHT,room-facility,Air conditioning,
35417217,HIGHLIGHT,property-facility,Elevator,
35417217,HIGHLIGHT,property-facility,Car park,
35417217,HIGHLIGHT,property-facility,Luggage storage,
35417217,HIGHLIGHT,room-facility,Linens,
35417217,FACILITY,Languages spoken,English,
35417217,FACILITY,Languages spoken,Vietnamese,
35417217,FACILITY,Internet access,Free Wi-Fi in all rooms!,
35417217,FACILITY,Internet access,Internet,
35417217,FACILITY,Internet access,Internet services,
35417217,FACILITY,Internet access,Wi-Fi in public areas,
35417217,FACILITY,"Dining, drinking, and snacking",Bottle of water,
35417217,FACILITY,"Dining, drinking, and snacking",Room service,
35417217,FACILITY,Cleanliness and safety,Cashless payment service,
35417217,FACILITY,Services and conveniences,Daily housekeeping,
35417217,FACILITY,Services and conveniences,Elevator,
35417217,FACILITY,Services and conveniences,Luggage storage,
35417217,FACILITY,For the kids,Family room,
35417217,FACILITY,Access,CCTV in common areas,
35417217,FACILITY,Access,CCTV outside property,
35417217,FACILITY,Access,Check-in [24-hour],
35417217,FACILITY,Access,Fire extinguisher,
35417217,FACILITY,Access,Front desk [24-hour],
35417217,FACILITY,Access,Non-smoking rooms,
35417217,FACILITY,Access,Safety/security feature,
35417217,FACILITY,Access,Security [24-hour],
35417217,FACILITY,Access,Smoke alarms,
35417217,FACILITY,Getting around,Car park [free of charge],
35417217,FACILITY,Available in all rooms,Accessible by elevator,
35417217,FACILITY,Available in all rooms,Air conditioning,
35417217,FACILITY,Available in all rooms,Carpeting,
35417217,FACILITY,Available in all rooms,Cleaning products,
35417217,FACILITY,Available in all rooms,Closet,
35417217,FACILITY,Available in all rooms,Clothes rack,
35417217,FACILITY,Available in all rooms,Desk,
35417217,FACILITY,Available in all rooms,Fan,
35417217,FACILITY,Available in all rooms,Fire extinguisher,
35417217,FACILITY,Available in all rooms,Free bottled water,
35417217,FACILITY,Available in all rooms,Hair dryer,
35417217,FACILITY,Available in all rooms,Hand sanitizer,
35417217,FACILITY,Available in all rooms,Linens,
35417217,FACILITY,Available in all rooms,Non-smoking,
35417217,FACILITY,Available in all rooms,Private bathroom,
35417217,FACILITY,Available in all rooms,Safety/security feature,
35417217,FACILITY,Available in all rooms,Satellite/cable channels,
35417217,FACILITY,Available in all rooms,Seating area,
35417217,FACILITY,Available in all rooms,Shower,
35417217,FACILITY,Available in all rooms,Socket near the bed,
35417217,FACILITY,Available in all rooms,Telephone,
35417217,FACILITY,Available in all rooms,Tile/marble flooring,
35417217,FACILITY,Available in all rooms,Toiletries,
35417217,FACILITY,Available in all rooms,Towels,
35417217,FACILITY,Available in all rooms,Trash cans,
35417217,FACILITY,Available in all rooms,Wake-up service,
35417217,FACILITY,Available in all rooms,Wi-Fi [free],
10983,HIGHLIGHT,topic-highlight,Great breakfast,"Extensive, high-quality breakfast buffet with wide Asian and Western choices that many guests praise"
10983,HIGHLIGHT,topic-highlight,Great swimming pool,"Large, well-maintained swimming pool with comfy loungers and poolside food and drink service"
10983,HIGHLIGHT,topic-highlight,Professional guest services,"Friendly, attentive staff from front desk to cleaners who help with directions, luggage and room service"
10983,HIGHLIGHT,topic-highlight,Sparkling clean,Consistently high cleanliness standards reported across many rooms and public areas
10983,HIGHLIGHT,topic-highlight,Airport connectivity,Quick access to Tan Son Nhat Airport with many guests noting 5–10 minute drives and cheap Grab rides
10983,HIGHLIGHT,topic-highlight,Top value,"Good value for money for a 5-star property, with frequent mentions of discounts, upgrades and affordable prices"
10983,HIGHLIGHT,topic-highlight,Highly rated by business travelers,
10983,HIGHLIGHT,topic-highlight,Comfortable mattresses,
10983,HIGHLIGHT,topic-highlight,Ideal location,
10983,HIGHLIGHT,topic-highlight,Highly-rated bar,
10983,HIGHLIGHT,property-facility,Airport transfer,"Airport transfer available at additional charge. To request, check the box on the booking form just before the payment page."
10983,HIGHLIGHT,property-facility,Free Wi-Fi in all rooms!,
10983,HIGHLIGHT,property-facility,Daily housekeeping,
10983,HIGHLIGHT,property-facility,Bar,
10983,HIGHLIGHT,property-facility,Sauna,
10983,HIGHLIGHT,property-facility,Steamroom,
10983,HIGHLIGHT,property-facility,Cash withdrawal,
10983,HIGHLIGHT,property-facility,Concierge,
10983,HIGHLIGHT,room-facility,Air conditioning,
10983,HIGHLIGHT,room-facility,Mini bar,
10983,FACILITY,Languages spoken,English,
10983,FACILITY,Languages spoken,Vietnamese,
10983,FACILITY,Accessibility,Wheelchair accessible,
10983,FACILITY,Internet access,Free Wi-Fi in all rooms!,
10983,FACILITY,Internet access,Internet,
10983,FACILITY,Internet access,Internet services,
10983,FACILITY,Internet access,Wi-Fi in public areas,
10983,FACILITY,"Things to do, ways to relax",Bowling alley,
10983,FACILITY,"Things to do, ways to relax",Casino,
10983,FACILITY,"Things to do, ways to relax",Fitness center,
10983,FACILITY,"Things to do, ways to relax",Gym/fitness,
10983,FACILITY,"Things to do, ways to relax",Light therapy,
10983,FACILITY,"Things to do, ways to relax",Massage,
10983,FACILITY,"Things to do, ways to relax",Pool facilities,
10983,FACILITY,"Things to do, ways to relax",Sauna,
10983,FACILITY,"Things to do, ways to relax",Spa,
10983,FACILITY,"Things to do, ways to relax",Spa/sauna,
10983,FACILITY,"Things to do, ways to relax",Steamroom,
10983,FACILITY,"Things to do, ways to relax",Swimming pool,
10983,FACILITY,"Things to do, ways to relax",Swimming pool [outdoor],
10983,FACILITY,"Things to do, ways to relax",Ticket services,
10983,FACILITY,"Things to do, ways to relax",Tours,
10983,FACILITY,Cleanliness and safety,Breakfast in room,
10983,FACILITY,Cleanliness and safety,Breakfast takeaway service,
10983,FACILITY,Cleanliness and safety,Daily disinfection in all rooms,
10983,FACILITY,Cleanliness and safety,Daily disinfection in common areas,
10983,FACILITY,Cleanliness and safety,Face coverings on staff,
10983,FACILITY,Cleanliness and safety,First aid kit,
10983,FACILITY,Cleanliness and safety,Hand sanitizer,
10983,FACILITY,Cleanliness and safety,Individually-wrapped food options,
10983,FACILITY,Cleanliness and safety,Physical distancing of at least 1 meter,
10983,FACILITY,Cleanliness and safety,Safe dining setup,
10983,FACILITY,Cleanliness and safety,Sanitized kitchen and tableware items,
10983,FACILITY,Cleanliness and safety,Staff trained in safety protocol,
10983,FACILITY,Cleanliness and safety,Sterilizing equipment,
10983,FACILITY,Cleanliness and safety,Temperature check for guests and staff,
10983,FACILITY,"Dining, drinking, and snacking",A la carte breakfast,
10983,FACILITY,"Dining, drinking, and snacking",A la carte in restaurant,
10983,FACILITY,"Dining, drinking, and snacking",Asian breakfast,
10983,FACILITY,"Dining, drinking, and snacking",Asian cuisine in restaurant,
10983,FACILITY,"Dining, drinking, and snacking",Bar,
10983,FACILITY,"Dining, drinking, and snacking",Breakfast [buffet],
10983,FACILITY,"Dining, drinking, and snacking",Breakfast [continental],
10983,FACILITY,"Dining, drinking, and snacking",Chinese cuisine in restaurant,
10983,FACILITY,"Dining, drinking, and snacking",Coffee/tea in restaurant,
10983,FACILITY,"Dining, drinking, and snacking",Coffee shop,
10983,FACILITY,"Dining, drinking, and snacking",Desserts in restaurant,
10983,FACILITY,"Dining, drinking, and snacking",Happy hour,
10983,FACILITY,"Dining, drinking, and snacking",International cuisine in restaurant,
10983,FACILITY,"Dining, drinking, and snacking",Restaurant breakfast,
10983,FACILITY,"Dining, drinking, and snacking",Restaurant dinner,
10983,FACILITY,"Dining, drinking, and snacking",Restaurant lunch,
10983,FACILITY,"Dining, drinking, and snacking",Restaurants,
10983,FACILITY,"Dining, drinking, and snacking",Room service [24-hour],
10983,FACILITY,"Dining, drinking, and snacking",Salad in restaurant,
10983,FACILITY,"Dining, drinking, and snacking",Snack bar,
10983,FACILITY,"Dining, drinking, and snacking",Soup in restaurant,
10983,FACILITY,"Dining, drinking, and snacking",Vegetarian restaurant,
10983,FACILITY,Services and conveniences,Air conditioning in public area,
10983,FACILITY,Services and conveniences,Audio-visual equipment for special events,
10983,FACILITY,Services and conveniences,Business facilities,
10983,FACILITY,Services and conveniences,Cash withdrawal,
10983,FACILITY,Services and conveniences,Concierge,
10983,FACILITY,Services and conveniences,Contactless check-in/out,
10983,FACILITY,Services and conveniences,Convenience store,
10983,FACILITY,Services and conveniences,Currency exchange,
10983,FACILITY,Services and conveniences,Daily housekeeping,
10983,FACILITY,Services and conveniences,Doorman ,
10983,FACILITY,Services and conveniences,Dry cleaning,
10983,FACILITY,Services and conveniences,Elevator,
10983,FACILITY,Services and conveniences,Facilities for disabled guests,
10983,FACILITY,Services and conveniences,Food delivery,
10983,FACILITY,Services and conveniences,Gift/souvenir shop,
10983,FACILITY,Services and conveniences,Grooming service,
10983,FACILITY,Services and conveniences,Indoor venue for special events,
10983,FACILITY,Services and conveniences,Ironing service,
10983,FACILITY,Services and conveniences,Laundry service,
10983,FACILITY,Services and conveniences,Lockers,
10983,FACILITY,Services and conveniences,Luggage storage,
10983,FACILITY,Services and conveniences,Meeting/banquet facilities,
10983,FACILITY,Services and conveniences,Meetings,
10983,FACILITY,Services and conveniences,Meeting stationery,
10983,FACILITY,Services and conveniences,Outdoor venue for special events,
10983,FACILITY,Services and conveniences,Projector/LED display,
10983,FACILITY,Services and conveniences,Safety deposit boxes,
10983,FACILITY,Services and conveniences,Salon,
10983,FACILITY,Services and conveniences,Seminars,
10983,FACILITY,Services and conveniences,Shared lounge/TV area,
10983,FACILITY,Services and conveniences,Shops,
10983,FACILITY,Services and conveniences,Smoke-free property,
10983,FACILITY,Services and conveniences,Smoking area,
10983,FACILITY,Services and conveniences,Wi-Fi for special events,
10983,FACILITY,Services and conveniences,Xerox/fax in business center,
10983,FACILITY,For the kids,Family/child friendly,
10983,FACILITY,For the kids,Family room,
10983,FACILITY,For the kids,Kids meal,
10983,FACILITY,Land sports ,Golf course (within 3 km),
10983,FACILITY,Access,Buzzer/wireless intercom,
10983,FACILITY,Access,CCTV in common areas,
10983,FACILITY,Access,CCTV outside property,
10983,FACILITY,Access,Check-in/out [express],
10983,FACILITY,Access,Check-in/out [private],
10983,FACILITY,Access,Check-in [24-hour],
10983,FACILITY,Access,Fire extinguisher,
10983,FACILITY,Access,Front desk [24-hour],
10983,FACILITY,Access,Non-smoking rooms,
10983,FACILITY,Access,Room decorations,
10983,FACILITY,Access,Safety/security feature,
10983,FACILITY,Access,Security [24-hour],
10983,FACILITY,Access,Smoke alarms,
10983,FACILITY,Getting around,Airport transfer,
10983,FACILITY,Getting around,Car park [free of charge],
10983,FACILITY,Getting around,Car park [on-site],
10983,FACILITY,Getting around,Rental car ,
10983,FACILITY,Getting around,Shuttle service,
10983,FACILITY,Getting around,Taxi service,
10983,FACILITY,Getting around,Valet parking,
10983,FACILITY,Available in all rooms,Accessible by elevator,
10983,FACILITY,Available in all rooms,Air conditioning,
10983,FACILITY,Available in all rooms,Alarm clock,
